Key,Category,Sub Category,Sub Sub Category
FINAL_RESULT_FLAG^^AID_FailToGetLastError_1158^^NA,AID_FailToGetLastError,AID_FailToGetLastError,AID_FailToGetLastError
FINAL_RESULT_FLAG^^AID_FailToGetLastError_1158^^DSP_VBAT_Curr_PowerOn_mA,Power Test,Power Test_VBAT,Power Test_VBAT
FINAL_RESULT_FLAG^^AID_FailToGetLastError_1158^^CRI_ERR_PreTest,Tester/DUT Setup,Tester/DUT Setup_ERR,Tester/DUT Setup_ERR_ERR
FINAL_RESULT_FLAG^^AID_FailToGetLastError_1158^^PWR_ACT_F4_I_PP5V1_mA,Power Test,Power Test_Active Power,Power Test_Active Power
FINAL_RESULT_FLAG^^AID_FailToGetLastError_1158^^PF_SENSER_READ,PF_SENSER_READ,PF_SENSER_READ,PF_SENSER_READ
FINAL_RESULT_FLAG^^AID_FailToGetLastError_1158^^FSProbe_CalTest_F0_TE_Uniformity,Uniformity Cal/Test,FSProbe Cal,FSProbe Cal_Uniformity
FINAL_RESULT_FLAG^^AID_FailToGetLastError_1158^^PWR_RST_V_PP5V1_mV,Power Test,Power Test_Active Power,Power Test_Active Power
FINAL_RESULT_FLAG^^AID_FailToGetLastError_1158^^FSProbe_CalTest_F0_BE_Uniformity,Uniformity Cal/Test,FSProbe Cal,FSProbe Cal_Uniformity
FINAL_RESULT_FLAG^^AID_FailToGetLastError_1158^^PWR_ACT_F4_I_PP1V2_CORE_mA,Power Test,Power Test_Active Power,Power Test_Active Power
FINAL_RESULT_FLAG^^AID_FailToGetLastError_1158^^M_RawDTN_MC_F0_IMG0_REG01,DTN/DTX,DTN,RawDTN
FINAL_RESULT_FLAG^^AID_FailToGetLastError_1158^^FSProbe_Test_WithDG_F3_R31C06,Uniformity Cal/Test,FSProbe Test,FSProbe Test WithDG
FINAL_RESULT_FLAG^^AID_FailToGetLastError_1158^^FSProbe_Cal_F0_INT_Uniformity_Top,Uniformity Cal/Test,FSProbe Cal,FSProbe Cal_Uniformity
FINAL_RESULT_FLAG^^AID_FailToGetLastError_1158^^FSProbe_CalTest_F0_RE_Uniformity,Uniformity Cal/Test,FSProbe Cal,FSProbe Cal_Uniformity
FINAL_RESULT_FLAG^^AID_FailToGetLastError_1158^^FSProbe_CalTest_F0_LE_Uniformity,Uniformity Cal/Test,FSProbe Cal,FSProbe Cal_Uniformity
FINAL_RESULT_FLAG^^AID_FailToGetLastError_1158^^DSP_VBAT_Curr_IMG0_mA,Power Test,Power Test_VBAT,Power Test_VBAT
FINAL_RESULT_FLAG^^AID_FailToGetLastError_1158^^ShapeSuitability_TR_SIG99_F0,DTN/DTX,DTN/DTX_ShapeSuitability,DTN/DTX_ShapeSuitability_TR
FINAL_RESULT_FLAG^^AID_FailToGetLastError_1158^^PWR_RST_V_PP3V15_mV,Power Test,Power Test_Active Power,Power Test_Active Power
FINAL_RESULT_FLAG^^AID_FailToGetLastError_1158^^PWR_RST_I_PP5V1_mA,Power Test,Power Test_Active Power,Power Test_Active Power
FINAL_RESULT_FLAG^^AID_FailToGetLastError_1158^^PWR_RST_I_PP3V15_mA,Power Test,Power Test_Active Power,Power Test_Active Power
FINAL_RESULT_FLAG^^AID_FailToGetLastError_1158^^PWR_RST_I_PP1V8_mA,Power Test,Power Test_Active Power,Power Test_Active Power
